osm_id,code,fclass,population,name,objectid2,province,district,tehsil,lat,lng
9247059040,1004,hamlet,0,Lehi Bala,384,PUNJAB,OKARA,OKARA,31.0584,73.5638
9247059041,1004,hamlet,0,Colony Dakhly,385,PUNJAB,OKARA,RENALA KHURD,31.05,73.5704
9247059042,1003,village,0,Sherke Bala,384,PUNJAB,OKARA,OKARA,31.0511,73.5488
9247059043,1004,hamlet,0,پیر کوٹ ممتاز,385,PUNJAB,OKARA,RENALA KHURD,31.0593,73.5888
9247067740,1003,village,0,Lohari Wala,383,PUNJAB,OKARA,DEPALPUR,30.6227,73.668
9247067741,1002,town,0,چورستہ میاں خان,383,PUNJAB,OKARA,DEPALPUR,30.6147,73.7649
9247067742,1003,village,0,مصطفی آباد,383,PUNJAB,OKARA,DEPALPUR,30.5776,73.8132
9247067744,1003,village,0,امین کوٹ,383,PUNJAB,OKARA,DEPALPUR,30.5632,73.8351
9247080219,1003,village,0,کوٹ شیر خان,383,PUNJAB,OKARA,DEPALPUR,30.5745,73.8878
9247109199,1003,village,0,وریام,344,PUNJAB,KASUR,KASUR,30.9742,74.3005
9247109200,1003,village,0,خرم ہٹھاڑ,344,PUNJAB,KASUR,KASUR,30.928,74.2938
9247109201,1003,village,0,بکرکے,344,PUNJAB,KASUR,KASUR,30.9342,74.3154
9247109202,1003,village,0,جودھ سنگھ والا,344,PUNJAB,KASUR,KASUR,30.9364,74.3433
9247109203,1003,village,0,Thathi Usman,344,PUNJAB,KASUR,KASUR,30.9432,74.3593
9247109204,1003,village,0,گڑھی جموں والا,344,PUNJAB,KASUR,KASUR,30.9582,74.3843
9247109205,1003,village,0,رتنے والا,344,PUNJAB,KASUR,KASUR,30.9574,74.3974
9247109206,1003,village,0,ممن والا,344,PUNJAB,KASUR,KASUR,30.9639,74.3741
9247113722,1003,village,0,نئی آبادی بن بودلا,344,PUNJAB,KASUR,KASUR,30.9737,74.3953
9247113755,1003,village,0,حسین خان والا,344,PUNJAB,KASUR,KASUR,31.0099,74.413
9247113766,1003,village,0,باگی,344,PUNJAB,KASUR,KASUR,30.9968,74.403
9247113782,1003,village,0,گوہر,344,PUNJAB,KASUR,KASUR,30.9975,74.3789
9247113798,1003,village,0,چھبر ہٹھاٹھ,344,PUNJAB,KASUR,KASUR,30.9783,74.3749
9247113809,1003,village,0,Ban Bodla Kalan,344,PUNJAB,KASUR,KASUR,30.9692,74.4093
9247113810,1003,village,0,Chak Bodla,344,PUNJAB,KASUR,KASUR,30.9743,74.4165
9247113811,1003,village,0,نوری والا,344,PUNJAB,KASUR,KASUR,30.9874,74.4296
9247113838,1003,village,0,عُثمان والا,344,PUNJAB,KASUR,KASUR,30.9742,74.4376
9247132001,1003,village,0,جگیاں,344,PUNJAB,KASUR,KASUR,30.9844,74.3155
9247132006,1003,village,0,چوک تاراگڑھ,344,PUNJAB,KASUR,KASUR,30.9932,74.3507
9247132007,1003,village,0,تاراگڑھ,344,PUNJAB,KASUR,KASUR,30.9988,74.3533
9247165719,1003,village,0,ہریکے نول,344,PUNJAB,KASUR,KASUR,31.0242,74.2626
9247165720,1003,village,0,نول ھٹھاڑ,344,PUNJAB,KASUR,KASUR,31.0357,74.2596
9247165721,1003,village,0,جوئیاں ھٹھاڑ,344,PUNJAB,KASUR,KASUR,31.0521,74.2568
9247165722,1003,village,0,حویلی شفیع,344,PUNJAB,KASUR,KASUR,31.0662,74.2732
9247165723,1003,village,0,بلندی ھٹھاڑ,344,PUNJAB,KASUR,KASUR,31.072,74.3045
9247165731,1004,hamlet,0,Theh Sheikhum,344,PUNJAB,KASUR,KASUR,31.0303,74.3057
9247165732,1003,village,0,چورکرٹ,344,PUNJAB,KASUR,KASUR,31.036,74.2245
9247165733,1003,village,0,مانے والی,344,PUNJAB,KASUR,KASUR,31.0311,74.2328
9247165734,1004,hamlet,0,بستی مدینہ والی,344,PUNJAB,KASUR,KASUR,31.0233,74.2348
