osm_id,code,fclass,name,objectid2,province,district,tehsil,lat,lng
5069281738,2303,cafe,Quetta Bismillah Cafe,0,SINDH,KARACHI,GADAP TOWN,25.0178,67.1275
5069281739,2501,supermarket,Nooristan Supermarket,0,SINDH,KARACHI,GADAP TOWN,25.0181,67.1296
5069281742,2008,town_hall,Maymar Town Hall,0,SINDH,KARACHI,GADAP TOWN,25.0209,67.1289
5069281747,2301,restaurant,Sharjah Restaurant,0,SINDH,KARACHI,GADAP TOWN,25.0161,67.1252
5069281748,2082,school,Foundation School,0,SINDH,KARACHI,GADAP TOWN,25.0164,67.124
5069359201,2301,restaurant,Al Farhan Hotel - Super Highway,0,SINDH,KARACHI,GADAP TOWN,24.9905,67.3109
5069426385,2101,pharmacy,Pharmacy AB,0,SINDH,KARACHI,GADAP TOWN,25.0119,67.1293
5069528133,2502,bakery,Sindh Sweets & Bakers,0,SINDH,KARACHI,MALIR CANTONMENT,24.9405,67.1597
5069528135,2302,fast_food,Pizza Korner,0,SINDH,KARACHI,MALIR CANTONMENT,24.9404,67.1601
5070323729,2546,computer_shop,N2S Mobiles & Computers,405,PUNJAB,SARGODHA,BHALWAL,32.2682,72.9039
5071129521,2422,camp_site,,0,,,,36.4824,71.7551
5071224377,2012,community_centre,A J Marriage Garden,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0062,67.0638
5071224378,2082,school,Usman Public School,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0057,67.0641
5071224380,2012,community_centre,Taj Mahal Marriage Hall,0,SINDH,KARACHI,NEW KARACHI TOWN,25.005,67.0649
5071224382,2511,convenience,Mini Mart,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0054,67.0666
5071224384,2504,mall,AL Fatima Shopping Mall,0,SINDH,KARACHI,NEW KARACHI TOWN,25.006,67.0695
5071224385,2204,park,Syed Rashid Jillani Shaheed Family Park,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0026,67.0688
5071224386,2204,park,Shaheed Dilawar Abbas Family Park,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0022,67.0692
5071297221,2110,hospital,Aqeela Latif Memorial Hospital,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0012,67.064
5071373663,2082,school,Makhdoom Bilawal Public School,0,SINDH,KARACHI,BIN QASIM TOWN,24.8706,67.3507
5071432274,2082,school,Muhammad Bin Qasim School,0,SINDH,KARACHI,BIN QASIM TOWN,24.8692,67.3622
5071443803,2082,school,Ideal Public School & College,0,SINDH,KARACHI,BIN QASIM TOWN,24.8721,67.3618
5071443804,2084,college,Government Girls College,0,SINDH,KARACHI,BIN QASIM TOWN,24.8709,67.3585
5071495076,2301,restaurant,Lucky Frech Fries,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0027,67.0558
5071495077,2301,restaurant,Hani Fast Food,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0025,67.0548
5071495080,2082,school,High Star Public School,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0024,67.0543
5071495082,2502,bakery,Zain Bakery,0,SINDH,KARACHI,NEW KARACHI TOWN,25.003,67.0539
5071495083,2082,school,Zoom Public School,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0035,67.0539
5071540158,2301,restaurant,Makkah Restaurant,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0059,67.0578
5071540159,2301,restaurant,Al Madina Restaurant,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0058,67.0576
5071540160,2511,convenience,Utility Store,0,SINDH,KARACHI,NEW KARACHI TOWN,25.0058,67.0574
